ADD BARH 896,76 570611 9765220
ADD YKOW 513,87 77368 4048788
ADD UIOQ 903,59 987573 6572643
ADD VTBA 253,71 384916 7862661
ADD YLEG 393,80 413817 9446508
ADD ANPP 945,76 652748 5667554
ADD TKMD 618,91 608180 1748557
ADD ERUE 975,14 523100 1125613
ADD VNYD 525,52 675696 8927898
ADD BAKG 325,39 254689 3332872
ADD RVUL 71,88 497501 8625668
ADD ZEQF 75,93 830295 2904629
ADD NAPA 380,40 413188 941278
ADD WBFO 726,34 826459 650136
ADD DDTF 31,53 577556 3187610
ADD KYBY 538,73 309546 7531763
ADD SBVA 815,00 782616 3178059
ADD BKLH 339,68 631711 2455847
ADD FKPE 505,19 60798 1370532
ADD MRRO 473,04 263672 7881273
ADD XOTF 476,88 249233 4882039
ADD ISKQ 845,17 992209 5658698
ADD DTXX 227,72 925695 9957174
ADD GYSM 253,86 132198 4639004
ADD HNBA 124,01 801427 6998772
ADD OXQE 442,48 888340 8787475
ADD ITRW 935,99 206906 1002212
ADD EHBI 570,60 872663 8306096
ADD CDUG 979,24 399488 5308888
ADD DPTT 42,66 909516 6373143
ADD WQXU 928,45 587155 491074
ADD LNSR 886,03 784752 5489545
ADD CCSZ 620,01 433471 4600373
ADD FNJJ 119,73 969246 1841514
ADD ROKI 409,91 738287 3046372
ADD DGSA 805,51 297044 8254139
ADD VWMI 903,18 95474 5068941
ADD HOVG 238,55 305504 9089058
ADD PWBJ 673,79 900510 8142538
ADD EVGH 391,88 466906 5318938
ADD GLOT 123,16 129006 8816440
ADD RMHH 879,16 417036 7937566
ADD QQET 35,59 399555 8128983
ADD YGQV 209,30 817402 9478976
ADD WVGL 977,33 73841 8546120
ADD IBUP 928,75 20420 4557103
ADD RMNF 888,58 740585 5722058
ADD YRQB 407,87 928622 6536253
ADD AWJR 775,30 361726 1290303
ADD YHLK 872,85 512539 407769
ADD YKTB 171,96 272994 4996262
ADD MVDK 46,27 947532 874260
ADD GIUM 363,28 783977 764834
ADD HOSC 9,65 873700 6415519
ADD UYNJ 603,40 582339 3854065
ADD GOMW 151,30 324326 7242827
ADD MHIC 820,71 76293 7626356
ADD OIUT 312,68 856244 9141255
ADD FWCG 546,60 974625 7986733
ADD NQYY 496,62 136721 9815780
ADD KJRX 56,40 594664 5637563
ADD DEVZ 750,61 40032 8646163
ADD RGBB 960,92 455694 2712159
ADD PNCX 88,50 504866 2462948
ADD IWKY 736,62 324581 2645753
ADD MQLJ 563,93 463930 2187592
ADD GAVE 933,03 12959 1398795
ADD AKMT 858,58 34923 1658191
ADD NVEM 45,30 514447 9854899
ADD UHJF 998,80 477015 4709289
ADD LVAI 290,58 810472 9250228
ADD VBHP 63,66 33153 3052712
ADD KXWJ 776,17 256763 1009133
ADD ZXQK 997,86 878347 2449596
ADD NZNC 797,92 268093 3675871
ADD SVEL 892,62 454328 5651701
ADD UYBB 257,06 693502 7418795
ADD RDKZ 348,09 694698 8638339
ADD ZTPB 433,83 119409 7440528
ADD FSIB 780,22 849572 7270712
ADD IDJD 606,08 587498 5283440
ADD ZVIM 785,69 665096 2115459
ADD HXTU 251,28 255642 6014539
ADD DDOU 928,01 564888 4948214
ADD PVRO 819,97 165204 3824705
ADD UQRV 558,03 977784 3071040
ADD SKEQ 319,26 548299 153748
ADD GYKF 532,32 259242 4252338
ADD OYEM 194,37 96528 879650
ADD RDIB 942,55 681296 4223421
ADD FAOQ 246,61 523223 7712750
ADD SPTH 219,17 287789 8511090
ADD UFTM 576,19 491314 1754903
ADD HGCZ 222,78 864291 9118720
ADD QCKP 787,87 947988 5589854
ADD GIBI 186,30 371956 4355000
ADD CURX 948,02 418446 2894116
ADD DNGT 621,37 444100 8384779
ADD DJXX 31,17 787028 6003432
ADD STEW 552,18 232789 7379465
ADD CVQX 844,48 827128 6486092
ADD MSOQ 690,07 207688 8073827
ADD XVKY 668,20 651884 7932688
ADD QKAX 412,08 347618 1406953
ADD AEPI 100,71 768771 4788116
ADD FVTH 656,88 624836 992267
ADD JNYC 846,12 972016 7726297
ADD ANLV 101,18 768112 2901595
ADD BNRL 432,85 726725 5455360
ADD EACU 230,11 331978 2570121
ADD WYBK 101,57 758836 7522633
ADD HMIU 164,66 61651 1696229
ADD FKNV 350,51 475536 5042939
ADD LQNQ 506,51 783007 6274963
ADD OMDW 163,72 321506 8679665
ADD TPXW 194,60 642889 7019239
ADD JGCT 840,11 795155 9356524
ADD TSLH 412,40 548370 7613157
ADD DISK 35,95 318441 9109600
ADD XPKG 856,80 59404 5313621
ADD GUHF 99,97 803459 4411237
ADD XYRS 450,03 756006 4077213
ADD DIUN 105,57 825057 942001
ADD BLAS 515,81 844721 296515
ADD ZGTH 245,71 706470 2140827
ADD RHPX 636,13 158367 1492461
ADD QVCJ 926,05 197264 8330520
ADD BOIV 286,49 128702 4159203
ADD CPEW 779,11 758720 4596160
ADD GYWD 597,09 993280 1181707
ADD PZPW 72,03 87928 7889994
ADD OIMX 837,79 721461 6640491
ADD HSQL 230,56 219287 5478410
ADD SCXT 474,39 466446 9518378
ADD NDSG 452,08 772766 1201145
ADD IUFA 893,95 580827 5349134
ADD YIAE 630,08 814957 5727148
ADD EUCV 146,67 868237 8744574
ADD ULTW 62,94 964230 8241115
ADD KWNF 302,23 562996 6803841
ADD LXJK 669,65 340295 2068698
ADD MZJU 268,00 132033 7893948
ADD TNBP 685,02 953331 5267252
ADD YQOQ 944,56 867254 9742792
ADD YRKF 581,23 103049 6824521
ADD LDSE 586,51 12182 8590669
ADD JVPB 126,58 828740 198095
ADD MCSP 728,00 962915 8056554
ADD LUED 350,99 318315 8079515
ADD DLAZ 464,30 900546 7208194
ADD RFHH 955,38 202484 864289
ADD XRVI 222,11 137146 5007259
ADD IHPR 461,47 290934 6243190
ADD SNAT 995,55 804211 2314073
ADD QNJV 456,95 404070 8027086
ADD NHZN 792,99 838513 1237376
ADD XTGG 342,56 649885 6573694
ADD GYUI 689,14 9181 7076982
ADD OQYG 600,35 721103 7473786
ADD KJNJ 126,92 705723 3442878
ADD UZWE 852,81 742996 2352343
ADD BDAI 363,73 383988 2514685
ADD SFTN 232,36 759905 6955081
ADD ZEOY 206,57 974988 4243575
ADD IBLS 830,77 714447 6764837
ADD YEBU 430,60 411756 2980370
ADD VBQO 247,96 461842 6543711
ADD XJAP 525,58 412185 1590096
ADD RHHC 509,77 637186 2689164
ADD XNAE 664,83 585273 5213144
ADD TSKZ 874,23 692629 1188960
ADD SWMR 41,25 250004 8540526
ADD MYUR 295,86 56545 8837680
ADD PZKA 964,70 357840 7407093
ADD HKCF 567,46 401182 4045296
ADD OHJR 365,68 362483 7475571
ADD CNXO 409,08 686881 3805877
ADD TBXN 599,41 940772 1975308
ADD VGHV 23,53 482273 1996851
ADD HKPH 695,12 346409 9912325
ADD MVYZ 888,04 486709 6540735
ADD TJCK 445,06 42217 783425
ADD VRCR 801,65 241426 7119565
ADD IUBI 977,56 291050 3076678
ADD LQPR 457,71 821456 9617650
ADD MBQX 708,97 132499 4078136
ADD YRTB 61,26 14566 208355
ADD MMKT 818,69 971114 7041628
ADD ZWRE 760,53 37416 1518707
ADD UKFS 642,17 618070 9303446
ADD FEUG 912,35 873551 7660183
ADD ZLBP 626,05 793437 3787754
ADD RYZK 450,84 188721 9137764
ADD ZXPY 740,28 862118 8710013
ADD GJYL 878,96 519171 683790
ADD ZTVE 491,55 650551 6698771
ADD MFGG 652,50 110109 1934058
ADD GSDL 932,64 826360 4335890
ADD MPWR 975,97 227317 2636396
ADD PAQC 312,22 946221 7077373
ADD OPXN 279,90 610018 3600041
ADD WCBZ 259,65 494078 6813049
ADD IGXQ 899,23 531673 3719766
ADD NMWS 649,21 142322 5998027
ADD KIWO 722,14 591218 5573958
ADD FMLH 538,49 848942 3930838
ADD LHAP 828,94 926883 8901358
ADD OJSY 825,17 830522 8212768
ADD QZKW 390,58 808131 452195
ADD WMFB 517,09 184123 3090637
ADD YJRM 346,25 759176 5645785
ADD RTNS 759,81 5177 1459362
ADD DRXO 629,62 388168 7246373
ADD KBFW 16,36 32601 8550147
ADD OIZW 963,27 333690 2355004
ADD ERSC 43,78 795619 7691636
ADD FIUX 490,80 636917 1703729
ADD CJMQ 560,70 813308 2558874
ADD VMUH 766,24 398575 4037049
ADD QWSE 750,87 785196 2424762
ADD OHCA 870,15 672766 5628841
ADD PSQA 996,82 647513 6250551
ADD SQRU 672,06 558362 3912438
ADD AEBP 488,43 855113 708376
ADD LVPE 508,79 83736 4177459
ADD MSNO 600,81 858339 6812287
ADD CFPN 798,03 162223 4569237
ADD TLPR 186,09 294893 6443569
ADD CIIC 356,92 159029 1890033
ADD LVIF 173,56 771341 9704980
ADD ULYE 444,97 761762 4990396
ADD OYNE 122,81 143307 5811371
ADD YWMN 801,00 626443 4181001
ADD VTOE 624,32 551053 4382492
ADD DZCG 193,52 887079 7391373
ADD JMFT 692,09 508505 1397929
ADD FWCL 254,19 251917 280349
ADD NNJY 542,72 822230 2676537
ADD XYVO 613,77 777907 2184750
ADD NUNK 405,65 20490 5594703
ADD PHAJ 610,19 657519 6402003
ADD CIIQ 258,92 490588 8163985
ADD XUZP 88,20 851256 7853249
ADD GSLY 635,16 746451 2113601
ADD RFHL 60,22 936165 5528014
ADD NEWL 892,12 217428 716230
ADD PZBK 247,82 771308 3982444
ADD IWQR 592,47 369254 9228067
ADD RLMX 773,40 484772 4837809
ADD EHJS 887,34 610096 9580030
ADD FQYP 521,67 575938 1587410
ADD QVHK 48,00 665273 3776281
ADD MUTA 940,33 150494 4720546
ADD OZAO 540,48 582694 8927835
ADD FUVI 299,58 118062 9246230
ADD ZYLN 287,38 859839 9275847
ADD KWDE 679,98 13641 530628
ADD IQCM 11,63 981673 4717571
ADD HNCE 208,15 916453 1429342
ADD LLGF 806,52 216620 4800594
ADD AHDD 309,88 65432 8377274
ADD JASW 326,73 767213 6407448
ADD WQWA 0,13 288665 7668429
ADD RMVP 244,78 570036 3001564
ADD ZPND 732,92 315684 6102249
ADD KTWQ 119,41 706946 347598
ADD XFWO 538,64 681829 3981803
ADD QMLE 340,03 550672 7282994
ADD VQIL 887,35 70124 2151722
ADD APVD 650,03 24708 9636870
ADD GYSY 720,81 237902 1333002
ADD UXET 341,35 813198 8714506
ADD WARC 670,60 523025 1123967
ADD YSQC 931,24 908621 356906
ADD XVJL 706,59 576608 9944525
ADD KKIV 523,23 775513 832530
ADD ENHF 263,95 603781 6388366
ADD PWZG 781,75 98799 383966
ADD IHQQ 774,35 619821 5338552
ADD IMMY 783,44 380566 260749
ADD XHXJ 402,44 162555 4429464
ADD UVDY 725,81 944301 3019576
ADD ANSM 987,53 114617 4109016
ADD WSZK 855,75 353908 2227063
ADD VNTD 837,88 6547 7873486
ADD AUMR 892,61 566854 1478193
ADD HAUE 565,56 314835 7926133
ADD CVZF 764,89 195412 2135297
ADD FKMB 485,27 933179 4725053
ADD DBLO 24,77 8862 5000852
ADD ZMCZ 505,61 642821 4347299
ADD HQUQ 497,22 634629 6972421
ADD GWYL 733,89 740592 284589
ADD QQZZ 612,68 194811 3189821
ADD QMIQ 734,19 590922 8764247
ADD WPCF 404,95 540557 7761992
ADD OOGI 457,98 962495 6378680
ADD SPHT 514,64 359752 9689850
ADD TJRH 194,35 635175 4312914
ADD DFQZ 120,67 20733 8789213
ADD FMFU 705,11 288336 229623
ADD XBQS 395,26 470859 5747804
ADD FMJQ 442,84 267207 8111571
ADD WENF 65,67 297784 9914018
ADD HIGN 324,42 609485 3254963
ADD KZMA 747,63 283429 2382422
ADD SUFH 259,89 656588 6849627
ADD JTXG 887,03 677312 5548241
ADD ZIQZ 349,86 782665 200119
ADD EPMS 792,87 367011 3832950
ADD MGGJ 24,01 978851 3163359
ADD JNAE 30,26 484882 9059540
ADD RMJG 669,71 837175 1469108
ADD UJFR 168,53 146899 6951577
ADD ZJGJ 742,41 727647 9919639
ADD UAAS 692,82 273007 8237024
ADD JOSE 509,38 185228 1841533
ADD OCMS 199,03 533474 3269400
ADD CEGV 277,09 405680 6939179
ADD BAJK 42,04 585984 4547148
ADD GRNA 734,94 496944 1453972
ADD ZZIL 444,59 150357 9592363
ADD VOLO 219,14 861090 9347980
ADD CXCM 92,16 549292 9298653
ADD ZLWE 511,44 238543 8650155
ADD BHQW 468,06 295821 3341449
ADD JCTC 687,79 673732 3230225
ADD ZZRH 733,49 497307 634839
ADD RXNP 9,26 402616 5819683
ADD CYVU 415,91 241730 5110007
ADD PCWB 177,70 997468 2519820
ADD MKXB 959,74 144102 3527490
ADD VYWN 946,01 437261 1789526
ADD JYKC 497,38 816140 4925666
ADD TYUL 6,59 384664 4266652
ADD UZSX 38,45 526013 2623741
ADD FYQC 246,17 88244 276277
ADD VDLR 224,53 695343 4225473
ADD AWRT 866,71 549206 5518401
ADD MSYM 627,79 862030 3492222
ADD SKWP 247,62 283127 6486692
ADD PSMJ 815,79 919282 135724
ADD POGJ 295,71 172940 7169898
ADD MOLY 70,32 155801 6971508
ADD EFWV 481,01 39327 260690
ADD ADHU 942,37 601455 7657741
ADD EYWM 369,98 912421 7043621
ADD DBHT 310,76 913482 7614364
ADD TXBN 21,53 538396 1491588
ADD ISZD 431,52 794599 9287797
ADD DFOO 126,02 826845 7436568
ADD MSND 620,78 842448 4939251
ADD TNMS 967,81 940797 861050
ADD FFAT 267,12 245191 2758534
ADD MGIG 560,47 541196 2040459
ADD ECSU 341,66 300908 7344421
ADD QIYR 589,26 729546 1517251
ADD JRHH 769,47 629382 1300225
ADD UFFK 793,09 309417 9137024
ADD EWXR 370,05 724743 546458
ADD DGNQ 602,94 780235 5575693
ADD EIFH 79,53 190494 7519966
ADD VNKM 845,00 620776 4767913
ADD PSSK 975,90 368930 8685849
ADD RSSA 224,32 527427 6685781
ADD VBWU 3,66 100909 4209309
ADD VGVV 151,14 785649 8254724
ADD QZPT 910,10 315430 9230713
ADD LGLE 79,19 853021 8100012
ADD IIKJ 418,59 523316 222785
ADD NIID 609,64 458194 2477031
ADD ODCY 808,64 522927 3474952
ADD OPVW 492,23 587494 9696961
ADD FXXO 788,70 11857 2562587
ADD MBDJ 525,03 231046 573779
ADD FVVH 152,16 188522 79900
ADD EEKQ 941,69 174168 6950291
ADD JWFV 787,18 960987 7185617
ADD MFTA 855,85 365723 4633125
ADD SFNQ 95,45 377449 4420876
ADD TGBT 101,03 359212 4429764
ADD UPSB 239,60 879829 8209015
ADD JKLW 124,25 776823 7208210
ADD VZDV 537,18 275459 3871191
ADD QBND 882,37 119073 4790096
ADD SEAJ 886,01 290829 1682138
ADD ZWER 963,52 81207 5538817
ADD NXDM 755,27 797527 9523699
ADD KBJN 941,76 460750 2997184
ADD RANF 463,27 921387 8185577
ADD XWPB 973,74 973798 1048452
ADD IJNA 843,15 11071 4181623
ADD VPSJ 118,50 27551 7263539
ADD WBBH 533,74 663229 717483
ADD YXAE 190,16 730064 9604970
ADD FLAX 777,58 567906 3413210
ADD PATY 727,78 880562 864971
ADD ACOD 521,00 316162 3983892
ADD BJPX 757,59 244058 2286350
ADD DZPH 14,24 339034 8481532
ADD NECL 310,28 107834 6965897
ADD XKBE 456,01 142704 8159841
ADD ANXB 197,57 654561 2611610
ADD QULX 806,42 255748 8083251
ADD TWFF 347,29 997496 7512018
ADD BQJL 92,80 158922 4868544
ADD WSPK 163,35 382518 163009
ADD XXGP 369,32 239484 140395
ADD WDHB 312,83 617026 5989472
ADD XCTG 78,22 661786 2544068
ADD NEYH 707,45 494695 7977413
ADD BNZA 841,29 125560 2477480
ADD LHSU 245,29 370573 930435
ADD VJEA 291,71 257752 7537144
ADD ZBPE 69,04 603427 5405057
ADD TSXX 223,98 437813 303763
ADD BNBM 648,69 266434 4160613
ADD NRWG 454,79 730869 5275404
ADD HHIR 280,16 867762 293252
ADD QDTT 354,23 227354 7724442
ADD LCRL 197,64 312536 7634483
ADD FRNE 351,58 529852 6011353
ADD FBEN 852,90 169981 6022555
ADD OCEP 591,96 176491 838255
ADD OFWV 668,58 930793 704041
ADD VTUQ 2,83 857117 3495091
ADD DVBJ 454,56 92714 31272
ADD NFRI 228,03 895534 5573880
ADD NDHO 1,80 216798 4513990
ADD FTZU 612,10 796605 8521501
ADD QNWS 350,23 836299 4253500
ADD QGQN 531,64 983106 1443836
ADD URPJ 296,23 257290 4908419
ADD BFII 984,12 894732 3080474
ADD KQCC 166,70 936362 7808480
ADD HKOZ 564,23 222511 205240
ADD YKLJ 152,47 579385 9340906
ADD XSPF 232,54 231007 7369787
ADD WMOZ 968,75 727601 3374013
ADD IBBT 837,89 109637 5597678
ADD RGGM 846,41 589065 1893703
ADD LVSO 680,70 853088 2794426
ADD JCQT 506,41 61047 1117525
ADD EKON 916,11 241694 7443884
ADD HTGE 881,51 325321 6301269
ADD IVIN 259,60 549366 8045452
ADD YZSV 215,99 535457 5318355
ADD NKQC 135,94 812886 263638
ADD CKUN 932,25 860096 6377851
ADD QJHH 211,98 603208 6824227
ADD ZHAT 30,80 145802 52419
ADD ICNP 868,36 754437 2263539
ADD CCWR 389,91 613316 8964422
ADD NAIO 404,18 793267 9355946
ADD NDOO 288,63 13215 3439047
ADD JVAV 852,07 828217 9375888
ADD IUYR 890,82 993029 5384147
ADD AQRX 698,27 623105 1121201
ADD LMMU 709,34 930258 7518518
ADD VFZW 229,12 344043 3832774
ADD TFVG 32,36 964422 5165905
ADD QFTS 667,28 57938 5378305
ADD JIEK 142,57 227490 2700396
ADD QASU 781,04 611599 630444
ADD AFUA 494,97 171879 5522140
ADD PHXU 344,39 46393 8619123
ADD YZEG 972,26 86603 8435455
ADD DENQ 465,79 637337 9789430
ADD UOVS 326,99 46 40669
ADD OLHV 903,06 65026 5397583
ADD CGJQ 107,77 365788 8634641
ADD FQKX 791,34 941912 4257214
ADD SWKD 843,39 49597 9830246
ADD GZUF 312,35 527393 254149
ADD WXOY 958,91 232012 3965053
ADD KVLQ 545,46 675785 2480431
ADD XOJQ 932,29 895219 544292
ADD QIAF 784,83 597828 978698
ADD LPLP 834,87 762394 1832742
ADD OTNP 208,28 238409 2454724
ADD GGPK 634,95 325983 490691
ADD BZHB 553,16 171227 5209282
ADD DBXO 230,82 242307 2201823
ADD ALBS 722,08 297405 3800378
ADD IFQM 63,30 875303 1395625
ADD GJKN 738,08 882663 9609282
ADD OMMJ 326,81 541964 8717429
ADD ACNF 679,23 542434 5752568
ADD RKHT 252,77 307061 4902997
ADD FZOQ 796,03 43311 5307408
ADD BGUJ 41,50 181003 8610155
ADD ZGLV 755,81 135056 4701442
ADD TRMI 656,27 565980 344765
ADD XNRZ 972,13 107475 5507404
ADD AAAX 324,92 818914 5063237
ADD BCTG 230,41 677784 546198
ADD TZSE 429,01 34881 3547414
ADD XHBO 586,74 534846 4575578
ADD YRDB 15,61 114848 3509932
ADD BVKX 865,14 146367 5974456
ADD AKGM 596,79 165119 7981108
ADD JUAB 985,60 87778 2900636
ADD ZBIH 954,39 205023 6401990
ADD SSYK 292,81 231916 4951759
ADD JGGX 720,12 684332 5145256
ADD CJPZ 287,83 665258 3394027
ADD UPHU 62,26 230959 4214360
ADD UQCX 496,37 946012 4300933
ADD OMBO 429,67 146200 8878475
ADD SPBK 796,73 408012 3591781
ADD TJRP 677,70 96676 9815674
ADD CAJZ 236,00 107935 554615
ADD NUZK 560,06 540407 1727491
ADD FMQD 956,58 699364 7491810
ADD GEBJ 924,39 375189 6342954
ADD EEFZ 118,98 250592 8469292
ADD NRUM 44,71 347480 2076083
ADD HKIL 411,83 506881 8271565
ADD OHCJ 909,10 542121 8468738
ADD IOLW 98,87 620417 433175
ADD HCTA 974,61 413290 9519507
ADD BVAT 898,68 978755 5170608
ADD RHZS 58,08 326951 2245273
ADD GFKD 455,82 703501 4290921
ADD USJR 504,66 723198 1834500
ADD PPTU 530,87 778498 8483319
ADD YMVV 826,12 142914 5403978
ADD VRJI 229,67 61642 967191
ADD PWOP 683,27 849397 9458715
ADD CEOU 81,33 922862 8772274
ADD MSXD 155,32 467130 4932897
ADD KPDA 801,96 726114 7349008
ADD WAVD 30,15 969526 9070500
ADD ESZO 950,39 738500 9713399
ADD EHIB 1,48 935811 9589617
ADD VTKS 480,23 581746 504910
ADD GRUG 607,59 711411 6874680
ADD PZRN 244,80 16872 5708157
ADD HYAN 22,29 665959 4533543
ADD TMXQ 445,40 242617 5013503
ADD VCQR 159,88 572918 6754161
ADD SDHL 401,40 882120 119441
ADD FZTP 181,92 105425 1724957
ADD NHSH 389,09 250915 3272079
ADD LTYG 486,24 91049 9533307
ADD NRMF 325,14 6837 6472626
ADD VRIV 418,32 98049 9687418
ADD YWIH 161,52 178367 3408376
ADD ISMY 572,85 636860 7921656
ADD EJAK 932,03 815510 9345065
ADD BZLZ 693,03 721468 7221693
ADD CQXH 261,30 71483 2216102
ADD SYIP 188,23 27961 2410247
ADD OFSH 287,72 95661 8325385
ADD SPRS 664,18 495348 5368538
ADD SPOU 51,17 614810 4663857
ADD VEQE 371,27 551802 5157183
ADD ICEJ 840,65 41699 3157120
ADD ZROI 818,33 465868 3904207
ADD RDTG 490,45 87416 173037
ADD OBBV 725,75 391484 7574215
ADD BIAN 380,85 333387 7489625
ADD ARXM 454,78 281031 1672299
ADD KPCL 351,71 23819 5232254
ADD EUCU 979,06 995960 8345061
ADD THNW 651,93 337004 6111529
ADD PBSU 118,60 425449 9666235
ADD HEWG 206,56 404338 9836263
ADD LTRO 600,20 315342 2109779
ADD OQOI 415,40 192292 8049530
ADD MNVI 102,10 140676 3157744
ADD XMKS 362,12 36995 4203667
ADD LSOU 4,42 568407 5489921
ADD OOUB 870,04 278549 9220035
ADD IVIA 161,39 104626 4765083
ADD ITVE 320,57 433244 9023174
ADD SRQD 752,92 63350 2819611
ADD XITY 457,98 150332 387340
ADD CKUH 967,45 939220 7548025
ADD IVBR 386,40 563543 1542448
ADD KXST 661,58 333292 8207920
ADD SHDC 847,89 955971 6010632
ADD DAWP 94,22 373776 2692172
ADD MIAD 60,58 179315 1026471
ADD UPXV 864,97 11934 1934246
ADD ZILA 669,35 202769 3937307
ADD VUVI 853,63 178555 6302726
ADD THWB 544,66 537614 3113235
ADD DGAX 524,00 869093 6440578
ADD VDFT 356,30 189498 1786113
ADD DAOA 609,93 774182 9428707
ADD LQJY 614,58 916238 722479
ADD OSYR 370,19 358108 2308400
ADD ROTM 307,58 181587 2919851
ADD UECF 531,92 983314 3643589
ADD LOPL 653,97 700396 8997378
ADD VXZC 528,35 947271 1536192
ADD SYNH 257,15 915872 1060067
ADD PKZO 66,62 618838 6247695
ADD DHAW 898,65 51276 526322
ADD CRPV 993,28 8481 9423629
ADD EBXB 600,05 492710 5844630
ADD QBFD 577,88 704126 8433643
ADD SOOH 965,58 215628 5004692
ADD QMGC 674,12 448293 3930929
ADD SYQU 922,10 705728 7507270
ADD JUUI 42,81 435397 2311088
ADD XGAB 9,26 779104 8936848
ADD CYZD 223,94 866761 8731815
ADD BGMS 69,64 104633 3261359
ADD WVXB 833,89 189045 7213654
ADD LNAG 121,69 693766 4101206
ADD SKOR 593,36 123441 2444183
ADD XBRK 539,02 354392 5311935
ADD SIHV 707,31 356499 4402409
ADD YKBO 139,72 925336 7738186
ADD OMXS 690,59 393809 4312312
ADD EHFJ 862,76 173667 7706436
ADD ELLX 82,74 264643 6647049
ADD ANGL 930,55 682591 5043572
ADD KXTP 612,50 888983 2436173
ADD OKGG 629,58 272045 8023660
ADD DTNA 597,08 946462 675040
ADD WDPE 824,71 109483 2505986
ADD NYWI 753,37 828374 8471347
ADD DPZO 416,13 954948 3443631
ADD GARD 804,62 89403 4611922
ADD LDIU 636,05 118221 8898793
ADD XWZE 182,67 927718 1982168
ADD NXRI 118,56 775017 1414356
ADD OQHI 487,33 272672 1941364
ADD YFFJ 340,12 263756 9063237
ADD SKFQ 50,03 308981 4419428
ADD PEDS 647,82 470936 7383073
ADD LAXB 401,48 693985 8586561
ADD GDDG 532,29 18510 6421937
ADD ZYWV 29,87 271971 9334641
ADD WOSR 841,14 715568 8397823
ADD UCFW 640,91 697732 263674
ADD RDNL 902,82 510969 3068888
ADD GXWR 25,46 816697 2461474
ADD YBAZ 802,89 471392 5565598
ADD QCUI 68,53 767276 9252597
ADD UEGB 489,84 664899 748068
ADD QJMV 556,74 179975 9128566
ADD WEIN 476,28 211646 6695471
ADD RPYN 755,23 332791 9833013
ADD QPEX 803,78 93932 2403229
ADD OEEP 288,28 195880 8693330
ADD VKPF 475,74 842299 1638708
ADD MBFZ 283,53 290097 5854310
ADD TGYT 611,67 638959 6656808
ADD JGTV 29,38 446172 2569457
ADD LRIG 684,44 376539 2482985
ADD ICIK 296,49 300591 5696208
ADD HEPG 686,04 190387 8996140
ADD EJQM 138,44 493019 3117619
ADD WRVO 753,66 47957 3827290
ADD MMYP 883,27 905229 8316507
ADD CASS 1,90 685576 7711390
ADD LBRI 481,68 12282 4699753
ADD MTKY 75,52 56774 3826861
ADD IXNA 637,57 186185 918180
ADD OXGF 187,36 502427 3540952
ADD WTSY 910,39 317277 3260371
ADD VWMO 239,44 127490 9944387
ADD AZES 221,70 921650 225039
ADD LWYA 743,50 685143 9436278
ADD GEQG 18,41 823059 3053329
ADD RPFY 782,81 864236 8425351
ADD DUIM 468,08 299861 178230
ADD KRAG 917,44 871314 3567852
ADD SDLA 397,75 127362 497237
ADD ZTWD 78,81 178325 5253655
ADD ESXR 956,89 92922 6189433
ADD QRVE 231,15 924296 3310918
ADD MTMI 280,16 3064 7616350
ADD FMEJ 421,16 476005 2994176
ADD HCBA 381,69 441629 7955573
ADD LZPZ 833,82 479232 167880
ADD LFXI 444,83 586596 6152164
ADD XMEJ 998,13 49311 7703746
ADD ZMHT 833,84 123504 358525
ADD LQLB 929,12 994594 8579411
ADD AQWA 667,90 860104 9870009
ADD PSKI 379,04 80283 2463127
ADD OKMB 609,03 994455 1816120
ADD YXTJ 70,19 674140 9350365
ADD KBKK 215,71 591672 7845797
ADD XDOA 85,99 365210 9531363
ADD VNLM 176,39 76434 889206
ADD ZJBS 33,95 526898 6740216
ADD VMXA 856,31 27734 3492646
ADD MALT 725,77 824230 23870
ADD ZRMZ 953,63 854709 1265206
ADD VBIH 41,41 458171 9125638
ADD VXUB 391,35 373853 5450587
ADD BGPV 304,42 300702 6135740
ADD ZZXA 373,43 222564 2600492
ADD KXZH 912,41 233166 5192851
ADD IMIW 845,69 45910 7444562
ADD LVZP 502,67 415251 7724999
ADD ZRPK 739,72 565085 2614407
ADD RKDP 983,63 343076 6562791
ADD VWOW 412,55 621321 6348568
ADD NKJG 920,22 597911 1309623
ADD GFRR 831,20 817933 2076563
ADD YQPY 317,38 760070 5082274
ADD TPWL 283,78 293674 2495965
ADD TBUY 615,52 301252 424052
ADD JSYR 625,78 593911 3326785
ADD WZSN 506,34 808328 8989850
ADD ZULM 763,42 966235 3776863
ADD AORB 54,87 171032 7892305
ADD FAZB 146,37 929854 1051413
ADD UYXB 202,06 545148 2996358
ADD JDPD 690,96 124822 9425466
ADD VZAD 436,67 62069 4569928
ADD ORJF 459,06 488919 6174925
ADD CRUK 72,58 459255 4093830
ADD NJSR 887,24 56555 868487
ADD VBOP 448,14 30785 6688671
ADD GYDH 113,02 743736 1374300
ADD LQSR 811,79 23514 3549600
ADD GGSS 754,72 94139 3895243
ADD RTMH 324,98 133385 5339867
ADD AMYU 142,45 317136 9785234
ADD XEQI 227,51 26655 3410988
ADD NUUL 911,68 312276 5166684
ADD ZQTZ 500,32 136761 4950971
ADD NGME 502,30 946894 108967
ADD DQPZ 714,94 486080 5344394
ADD ZBVT 659,50 366652 7003436
ADD MOQB 800,08 45971 5071483
ADD SCGY 940,73 251375 1001274
ADD JMVW 835,78 575849 6979047
ADD SVRP 711,41 868243 9704950
